,index,movie_id,movie_name,genre,plot
5979,46762,tt0438486,Ten til Noon,"crime, mystery, thriller",ten til noon ten minutes everything change ten people innovative real time crime thriller murderous events one fateful day committed noon replayed different points view
5980,46763,tt0438488,Terminator Salvation,"action, adventure, sci-fi",terminator salvation mysterious new weapon war machines half human half machine comes john connor eve resistance attack skynet whose side trusted
5981,46778,tt0439179,Fat Girls,"comedy, drama",fat girls gay theater obsessed texan high school senior heart set broadway stardom eye love help pound best girl friend embarks winning journey self discovery
5982,46779,tt0439182,Four Eyed Monsters,"comedy, drama, fantasy",four eyed monsters apathy technology paranoia disease medication meet arin arin shy videographer finds much handle go meet girls sets account meester net
5983,46785,tt0439289,Correndo con le forbici in mano,"comedy, drama",correndo con le forbici mano young augusten burroughs absorbs experiences could make shocking memoir son alcoholic father unstable mother hes handed mothers therapist dr finch spends adolescent years member finchs bizarre extended family
5984,46792,tt0439478,The Boynton Beach Bereavement Club,"comedy, romance",boynton beach bereavement club romantic comedy amazing capacity rebound fall love age lois harry marilyn sandy jack live active adult community boynton beach florida
5985,46798,tt0439544,Dirty,"crime, drama, thriller",dirty two gangbangers turned cops try cover scandal within lapd
5986,46824,tt0439815,Slither,"comedy, horror, sci-fi",slither small town taken alien plague turning residents zombies forms mutant monsters
5987,46825,tt0439817,Il sole,"drama, history",il sole third part aleksandr sokurovs quadrilogy power following
5988,46826,tt0439833,Steel City,"crime, drama, thriller",steel city midwestern winter two working class brothers must cope recently incarcerated father
5989,46833,tt0439876,What Love Is,"comedy, romance",love tom comes home valentines day dear john letter girlfriend spends rest night talking four best friends woman sex love five women show battle sexes begins
5990,46836,tt0439885,Wu Qingyuan,"biography, drama, romance",wu qingyuan chinese man becomes expert player traditional game go
5991,46857,tt0440963,The Bourne Ultimatum Il ritorno dello sciacallo,"action, mystery, thriller",bourne ultimatum il ritorno dello sciacallo jason bourne dodges ruthless c official agents new assassination program searching origins life trained killer
5992,46858,tt0440978,Strajk Die Heldin von Danzig,drama,strajk die heldin von danzig nearly illiterate woman becomes one founders polands solidarity union
5993,46859,tt0441007,Il mio sogno pi grande,"biography, drama, sport",il mio sogno pi grande teenager faces uphill battle fights give women opportunity play competitive soccer
5994,46880,tt0441741,The Cabinet of Dr Caligari,"drama, horror, mystery",cabinet dr caligari annual fair comes town murder madness mayhem creep shadows dr caligari mysterious hypnotist appears control every move bizarre clairvoyant sleepwalker
5995,46882,tt0441761,Free Zone,"comedy, drama",free zone two women embark road trip brought together circumstance rebecca portman flees hotel fight mother law maura hails taxi driven hanna lazlo
5996,46884,tt0441773,Kung Fu Panda,"animation, action, adventure",kung fu panda dragon warrior clash savage tai lung chinas fate hangs balance however dragon warrior mantle supposedly mistaken bestowed upon obese panda novice martial arts
5997,46885,tt0441774,Lonely Hearts,"biography, crime, drama",lonely hearts based true story two homicide detectives track martha beck raymond martinez fernandez murderous pair known lonely hearts killers lured victims personals
5998,46889,tt0441796,Stay Alive,"fantasy, horror, mystery",stay alive group teens answer mysterious death old friend lies within world online video game based true story ancient noblewoman known blood countess
5999,46894,tt0441909,Volver Tornare,"comedy, drama",volver tornare death mother returns home town order fix situations couldnt resolve life
6000,46901,tt0442286,Kakushi ken oni no tsume,"action, drama, history",kakushi ken oni tsume th century samurai held low esteem due action late father must resolve history maid close friend
6001,46917,tt0442933,La leggenda di Beowulf,"animation, action, adventure",la leggenda di beowulf warrior beowulf must fight defeat monster grendel terrorizing denmark later grendels mother begins killing revenge
6002,46926,tt0443205,Neighbour No,"horror, thriller",neighbour j z murasaki boy miscast classroom frequently abused tortured beaten humiliated bully ru akai gang juvenile punks years repression
6003,46930,tt0443272,Lincoln,"biography, drama, history",lincoln american civil war continues rage americas president struggles continuing carnage battlefield fights many inside cabinet decision emancipate slaves
6004,46931,tt0443274,Prospettive di un delitto,"action, crime, drama",prospettive di un delitto attempted assassination american president told told several different perspectives
6005,46933,tt0443295,I tuoi i miei e i nostri,"comedy, family, fantasy",tuoi miei e nostri widowed coast guard admiral widow handbag designer fall love marry much dismay children
6006,46938,tt0443431,Another Gay Movie,"comedy, romance",another gay movie four gay high school friends make pact lose virginity go college
6007,46941,tt0443446,La bestia nel cuore,"drama, mystery",la bestia nel cuore sabina regular life satisfied job love franco lately nightmares start disturbing almost time discovers pregnant step
6008,46942,tt0443448,O Jerusalem,"drama, history",jerusalem tale friendship two men one jewish arab country israel created
6009,46943,tt0443453,Borat Studio culturale sullAmerica a beneficio della gloriosa nazione del Kazakistan,comedy,borat studio culturale sullamerica beneficio della gloriosa nazione del kazakistan kazakh tv talking head borat dispatched united states report greatest country world documentary crew tow borat becomes interested locating marrying
6010,46944,tt0443455,Brand Upon the Brain A Remembrance in Chapters,"comedy, drama, fantasy",brand upon brain remembrance chapters returned home long estranged mother upon request deathbed man raised parents orphanage confront childhood memories long haunted
6011,46945,tt0443456,Complicit e sospetti,"crime, drama, romance",complicit e sospetti landscape architects dealings young thief cause evaluate life
6012,46946,tt0443465,Before We Go,"comedy, drama, romance",go two strangers stuck manhattan night grow others trusted confidants evening unexpected adventure forces confront fears take control lives
6013,46947,tt0443473,The Condemned Lisola della morte,"action, crime, thriller",condemned lisola della morte jack conrad awaiting death penalty corrupt central american prison purchased wealthy television producer taken desolate island must fight death nine condemned killers corners world freedom going sole survivor
6014,46949,tt0443489,Dreamgirls,"drama, music, musical",dreamgirls trio black female soul singers cross pop charts early facing personal struggles along way
6015,46951,tt0443496,Edmond,"drama, thriller",edmond fortune tellers teasing rumination sends edmond burke lurching new york citys hellish underworld
6016,46953,tt0443506,Film Geek,comedy,film geek story scotty pelk socially inept video store clerk gets fired job becomes sensation online film critic
6017,46960,tt0443536,Cappuccetto rosso e gli insoliti sospetti,"animation, comedy, crime",cappuccetto rosso e gli insoliti sospetti little red riding hood wolf woodsman granny tell police events led encounter
6018,46961,tt0443543,The Illusionist Lillusionista,"drama, fantasy, history",illusionist lillusionista turn century vienna magician uses abilities secure love woman far social standing
6019,46963,tt0443564,Laura Smiles,drama,laura smiles story womans attempt reinvent life tragedy takes years dark dormant emotions find way surface life spirals control
6020,46971,tt0443632,The Sentinel,"action, crime, thriller",sentinel secret service agent framed mole assassination attempt president must clear name foil another assassination attempt run secret service protective intelligence division agent
6021,46973,tt0443649,A C,"action, adventure, drama",c prehistoric past dleh mammoth hunter bonds beautiful evolet warriors horseback capture evolet tribesmen dleh must embark odyssey save true love
6022,46976,tt0443680,Lassassinio di Jesse James per mano del codardo Robert Ford,"biography, crime, drama",lassassinio di jesse james per mano del codardo robert ford robert ford whos idolized jesse james since childhood tries hard join reforming gang missouri outlaw gradually becomes resentful bandit leader
6023,46977,tt0443693,Lignoto spazio profondo,sci-fi,lignoto spazio profondo alien narrates story dying planet peoples visits earth earths man made demise human astronauts attempt find alternate planet surviving humans live
6024,46978,tt0443701,X Files Voglio crederci,"crime, drama, horror",x files voglio crederci mulder scully called back duty fbi former priest claims receiving psychic visions pertaining kidnapped agent
6025,46979,tt0443706,Zodiac,"crime, drama, mystery",zodiac late early san francisco cartoonist becomes amateur detective obsessed tracking zodiac killer unidentified individual terrorizes northern california killing spree
6026,46987,tt0443844,Les amants r guliers,"drama, romance",les amants r guliers paris student trade union revolt fran ois poet dodging military service takes barricades wont throw molotov cocktail
6027,46988,tt0444112,Un po per caso un po per desiderio,"comedy, drama, romance",un po per caso un po per desiderio young woman arrives paris finds job waitress bar next avenue montaigne caters surrounding theaters wealthy inhabitants area meet pianist famous actress great art collector become acquainted luxurious world grandmother told since childhood
6028,46989,tt0444182,Days of Glory,"action, drama, war",days glory wwii four north african men enlist french army liberate country nazi oppression fight french discrimination
6029,46995,tt0444628,Fay Grim,"action, comedy, thriller",fay grim ten years later continuation hal hartleys henry fool fay grim posey coerced cia agent goldblum try locate notebooks belonged fugitive ex husband ryan published information could compromises security u causing fay first head paris fetch
6030,46999,tt0444653,La famiglia omicidi,"comedy, crime",la famiglia omicidi pastor preoccupied writing perfect sermon fails realize wife affair children good
6031,47002,tt0444682,I segni del male,"horror, thriller",segni del male former christian missionary specializes debunking religious phenomena investigates small town seems suffering biblical plagues
6032,47022,tt0445336,You the Living Gioisci dunque o vivente,"comedy, drama, music",living gioisci dunque vivente living film humankind greatness baseness joy sorrow self confidence anxiety desire love loved
6033,47023,tt0445396,Geuddae geusaramdeul,"comedy, drama, history",geuddae geusaramdeul look life president park chung hee events leading assassination
6034,47034,tt0445620,Paradise Now,"crime, drama, thriller",paradise two childhood friends recruited suicide bombing tel aviv
6035,47040,tt0445760,Il gusto dellanguria,"comedy, drama, musical",il gusto dellanguria hsiao kang working pornographic actor meets shiang chyi meanwhile city taipei faces water shortage makes sales watermelons skyrocket
6036,47041,tt0445776,U Carmen eKhayelitsha,"musical, drama, romance",u carmen ekhayelitsha version georges bizets carmen set modern day south african township
6037,47043,tt0445922,Across the Universe,"drama, fantasy, history",across universe music
6038,47045,tt0445934,Blades of Glory Due pattini per la gloria,"comedy, sport",blades glory due pattini per la gloria two rival olympic ice skaters stripped gold medals permanently banned mens single competition presently however theyve found loophole allow qualify pairs team
6039,47050,tt0445953,Disgrace,drama,disgrace affair student cape town professor moves eastern cape gets caught mess post apartheid politics
6040,47053,tt0445984,Home,"drama, comedy",home hot summer night brooklyn singles couples converge brownstone apartment flirt fight hook uo break dreamy comedy drama sex love freedom home packs lot stories two floors
6041,47054,tt0445990,Imbattibile,"biography, drama, sport",imbattibile based story vince papale year old bartender south philadelphia overcame long odds play nfls philadelphia eagles
